Site,Description,Creek,Latitude,Longitude,Field,Lab,Stream,Fim,Bact,Ism,HabType,Fish,Cmann,ANID,YSIsiteID,Bmp,Alias,BmpType,Lake,MilesSuit,Miles,USGSID,Inactive,Comments,X,Y,Basin,EventSort,CIP,DA (MI²)
NCSFUR,Northcross - NC Sam Furr,McDowell Creek,35.442306,-80.862665,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,,,FALSE,FALSE,,,TRUE,,,,,,FALSE,
NMPGE,North Meck Park Grassed Effluent,Torrence Trib 2,35.437007,-80.84754,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NMP,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
NMPRGE,North Meck Park Rain Garden Effluent,Torrence Trib 2,35.434183,-80.846941,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NMP,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
NPSTCE,North Point Stormceptor Effluent,Stewart Creek,35.279724,-80.870615,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NPSTC,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
NPSTCI,North Point Stormceptor Influent,Stewart Creek,35.279797,-80.870712,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NPSTC,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
NPSTTE,North Point Stormtrooper Effluent,Stewart Creek,35.279364,-80.871212,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NPSTT,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
NPSTTI,North Point Stormtrooper Influent,Stewart Creek,35.279318,-80.871298,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NPSTT,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
NTWPE,North Tryon Wet Pond Effluent,Upper Little Sugar,35.26006,-80.791459,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NTWP,Outlet,FALSE,FALSE,,,FALSE,Hidden Valley Wet Pond,,,,,FALSE,
NTWPF1,North Tryon Wet Pond Forebay 1,Upper Little Sugar,35.260437,-80.792026,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NTWP,Forebay,FALSE,FALSE,,,FALSE,Hidden Valley Wet Pond,,,,,FALSE,
NTWPF2,North Tryon Wet Pond Forebay 2,Upper Little Sugar,35.260061,-80.791782,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NTWP,Forebay2,FALSE,FALSE,,,FALSE,Hidden Valley Wet Pond,,,,,FALSE,
NTWPMI,North Tryon Wet Pond Main Influent,Upper Little Sugar,35.259853,-80.792263,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NTWP,Inlet,FALSE,FALSE,,,FALSE,Hidden Valley Wet Pond,,,,,FALSE,
